iter	Passed	Remaining
226	106279	127816
227	106947	127586
228	107576	127306
229	108156	126966
230	108776	126669
231	109396	126371
232	110012	126066
233	110901	126067
234	111385	125605
235	111783	125045
236	112153	124457
237	112505	123850
238	112861	123250
239	113218	122653
240	113694	122186
241	114084	121627
242	114443	121037
243	114889	120539
244	115274	119979
245	115637	119398
246	116062	118882
247	116532	118411
248	116871	117810
249	117248	117248
250	117621	116684
251	117980	116108
252	118352	115545
253	118665	114928
254	119039	114371
255	119413	113816
256	119826	113299
257	120202	112747
258	120588	112207
259	121126	111808
260	121766	111502
261	122218	111022
262	122591	110472
263	122976	109933
264	123479	109500
265	123893	108988
266	124276	108451
267	124645	107901
268	125056	107390
269	125431	106849
270	125771	106279
271	125974	105596
272	126463	105154
273	126879	104652
274	127261	104122
275	127716	103653
276	128161	103177
277	128570	102671
278	128978	102165
279	129365	101644
280	129799	101160
281	130172	100630
282	130697	100216
283	131285	99850
284	131691	99346
285	132220	98934
286	132591	98404
287	133132	98000
288	133724	97632
289	134330	97273
290	134911	96895
291	135341	96407
292	135557	95769
293	136141	95391
294	136758	95035
295	137224	94573
296	137590	94043
297	138057	93582
298	138555	93142
299	139045	92697
300	139406	92165
301	139768	91636
302	140169	91133
303	140581	90637
304	141139	90236
305	141709	89842
306	142126	89349
307	142654	88927
308	142990	88385
309	143575	87997
310	144033	87531
311	144561	87107
312	145106	86692
313	145699	86306
314	146233	85882
315	146728	85436
316	147235	84997
317	147710	84538
318	148249	84116
319	148892	83752
320	149490	83360
321	149715	82762
322	150038	82219
323	150466	81734
324	150933	81272
325	151337	80775
326	151806	80313
327	152397	79915
328	152861	79450
329	153248	78946
330	153593	78420
331	154028	77942
332	154410	77436
333	154922	76997
334	155302	76492
335	155683	75988
336	156063	75484
337	156653	75082
338	157146	74632
339	157680	74202
340	158321	73821
341	158946	73431
342	159438	72979
343	160060	72585
344	160631	72167
345	161186	71741
346	161882	71377
347	162634	71035
348	163487	70735
349	163933	70257
350	164452	69810
351	164976	69364
352	165669	68989
353	166626	68721
354	167398	68373
355	168266	68062
356	169095	67733
357	169831	67363
358	170325	66896
359	170839	66437
360	171501	66035
361	172081	65600
362	172711	65183
363	173340	64764
364	173790	64278
365	174454	63871
366	175172	63482
367	176157	63187
368	176657	62715
369	177424	62338
370	178040	61906
371	178653	61472
372	179247	61030
373	179816	60579
374	180393	60131
375	180956	59677
376	181525	59224
377	182035	58752
378	182594	58295
379	183284	57879
380	184182	57526
381	184955	57132
382	185524	56674
383	185952	56173
384	186407	55680
385	186885	55194
386	187433	54728
387	187900	54239
388	188311	53734
389	188664	53213
390	189171	52735
391	189633	52246
392	190143	51769
393	190695	51303
394	191227	50832
395	191743	50357
396	192218	49870
397	192822	49416
398	193394	48954
399	194025	48506
400	194472	48011
401	195001	47537
402	195545	47066
403	195921	46555
404	196300	46045
405	196740	45550
406	197142	45047
407	197548	44545
408	197905	44032
409	198065	43477
410	198457	42975
411	198535	42405
412	198915	41902
413	199409	41423
414	199770	40916
415	200298	40444
416	200737	39954
417	201168	39463
418	201231	38901
419	201697	38418
420	202178	37938
421	202585	37444
422	203091	36969
423	203491	36474
424	203896	35981
425	204338	35495
426	204735	35001
427	205199	34519
428	205559	34020
429	205987	33532
430	206346	33034
431	206715	32538
432	207097	32045
433	207523	31558
434	207943	31072
435	208343	30582
436	208714	30089
437	208756	29549
438	209131	29059
439	209509	28569
440	209937	28086
441	210316	27598
442	210713	27112
443	211143	26630
444	211519	26142
445	211928	25659
446	212321	25174
447	212666	24684
448	213079	24202
449	213471	23719
450	213897	23239
451	214298	22757
452	214731	22278
453	215150	21799
454	215516	21314
455	215900	20832
456	216365	20358
457	216822	19883
458	217188	19400
459	217561	18918
460	217941	18437
461	218369	17961
462	218762	17482
463	219161	17003
464	219570	16526
465	219964	16048
466	220362	15571
467	220796	15097
468	221279	14626
469	221708	14151
470	222203	13681
471	222552	13202
472	225991	12900
473	226413	12419
474	226781	11935
475	227233	11457
476	227595	10974
477	227981	10492
478	228092	9999
479	228529	9522
480	228962	9044
481	229360	8565
482	229788	8087
483	230197	7609
484	230632	7132
485	231029	6655
486	231408	6177
487	231853	5701
488	232205	5223
489	232573	4746
490	233034	4271
491	233448	3795
492	233844	3320
493	234263	2845
494	234692	2370
495	235168	1896
496	235539	1421
497	235909	947
498	236298	473
499	236636	0
