iter	RMSE
0	93.73543186
1	87.21296252
2	81.64605324
3	77.65894733
4	74.52541212
5	72.00253791
6	70.25639474
7	68.72707519
8	65.01728451
9	64.10972223
10	61.61823984
11	59.00065034
12	55.88613382
13	55.22356935
14	55.04522205
15	53.87870122
16	53.72652058
17	52.89261514
18	52.63011361
19	52.30918487
20	52.19510853
21	52.09967487
22	52.02823376
23	51.92022565
24	51.43835299
25	51.36337197
26	50.7603663
27	47.39259883
28	47.31977104
29	47.31577175
30	47.16723416
31	46.90374926
32	46.48415008
33	46.46094577
34	46.33916401
35	46.31658159
36	45.9432846
37	45.89997432
38	45.51690457
39	45.49680214
40	45.18970709
41	44.99926318
42	44.93817502
43	44.81641847
44	44.81334497
45	44.75714935
46	44.70253767
47	43.53491355
48	43.51093454
49	43.48975167
50	42.71715427
51	42.00036986
52	41.96489512
53	41.94903435
54	41.94831086
55	41.94715091
56	41.03409359
57	41.03361214
58	41.03168458
59	40.99480257
60	40.9921063
61	40.81620375
62	40.81200709
63	40.77983602
64	40.10997355
65	40.10971753
66	39.54222106
67	39.5296828
68	39.52803174
69	39.52777324
70	38.90502686
71	38.32783607
72	38.32064207
73	38.31965875
74	38.17258464
75	38.16981188
76	38.16249901
77	38.16196039
78	37.19781397
79	35.87695364
80	35.25741165
81	34.25093989
82	34.24562075
83	33.98232804
84	33.97815903
85	33.97465238
86	33.97446971
87	33.95956159
88	33.74860436
89	33.6163755
90	33.59448461
91	33.59420329
92	33.57369585
93	33.57158835
94	33.53420482
95	33.53406682
96	33.48517599
97	33.4835694
98	33.47538785
99	33.32729521
100	32.49711382
101	32.46623242
102	32.45040539
103	32.4129714
104	32.38525313
105	31.96602947
106	31.82133674
107	31.53385013
108	31.4566159
109	31.39114915
110	31.39064566
111	31.31129479
112	31.17699821
113	31.12889878
114	31.12854877
115	30.45645715
116	30.40699314
117	30.40627986
118	29.95447741
119	29.94420137
120	29.85263502
121	29.43031718
122	29.41632916
123	29.34357477
124	29.27434055
125	29.15055274
126	29.14676922
127	29.14578923
128	28.82774603
129	28.80494354
130	28.71373543
131	28.62017307
132	28.61496915
